time,open,high,low,close
2022-09-10T13:00:00+01:00,1724.83,1732.76,1714.15,1716.3
2022-09-10T17:00:00+01:00,1717.2,1743.94,1711.28,1741.68
2022-09-10T21:00:00+01:00,1741.34,1789.23,1729.8,1774.97
2022-09-11T01:00:00+01:00,1774.92,1779.29,1757.33,1761.66
2022-09-11T05:00:00+01:00,1762,1768.94,1745.96,1762.09
2022-09-11T09:00:00+01:00,1761.66,1779.36,1758.07,1770.94
2022-09-11T13:00:00+01:00,1771.02,1777.53,1755.2,1769.37
2022-09-11T17:00:00+01:00,1768.37,1789.91,1758.85,1764.21
2022-09-11T21:00:00+01:00,1764.14,1768.45,1721.44,1766.98
2022-09-12T01:00:00+01:00,1765.7,1782.66,1717.57,1727.26
2022-09-12T05:00:00+01:00,1726.82,1762.2,1719.03,1759.42
2022-09-12T09:00:00+01:00,1760.3,1761.96,1730.58,1749.39
2022-09-12T13:00:00+01:00,1748.62,1755.19,1697.12,1707.02
2022-09-12T17:00:00+01:00,1708.46,1732.22,1693.64,1726.24
2022-09-12T21:00:00+01:00,1724.17,1730.06,1702.88,1717.04
2022-09-13T01:00:00+01:00,1717.2,1717.63,1676.93,1716.17
2022-09-13T05:00:00+01:00,1716.17,1729.67,1701.55,1716.49
2022-09-13T09:00:00+01:00,1716.9,1746.1,1708.36,1738.42
2022-09-13T13:00:00+01:00,1740.87,1752.82,1574.77,1594.13
2022-09-13T17:00:00+01:00,1587.87,1631.77,1573.52,1605.36
2022-09-13T21:00:00+01:00,1607.54,1626.21,1562.5,1574.54
2022-09-14T01:00:00+01:00,1573.71,1610.22,1556.06,1602.56
2022-09-14T05:00:00+01:00,1602.34,1623.26,1596.08,1611.91
2022-09-14T09:00:00+01:00,1610.87,1611.51,1585.47,1594.36
2022-09-14T13:00:00+01:00,1594.27,1611.96,1586,1594.99
2022-09-14T17:00:00+01:00,1594.32,1602.48,1558.89,1600.79
2022-09-14T21:00:00+01:00,1601.36,1646.8,1592.3,1638.64
2022-09-15T01:00:00+01:00,1638.52,1654.62,1586.65,1605.87
2022-09-15T05:00:00+01:00,1605.74,1651.08,1572.56,1636.74
2022-09-15T09:00:00+01:00,1635.59,1635.69,1574.88,1591.57
2022-09-15T13:00:00+01:00,1592.47,1598.85,1458.07,1492.74
2022-09-15T17:00:00+01:00,1491.36,1518.62,1483.97,1497.78
2022-09-15T21:00:00+01:00,1498.96,1509.49,1460.88,1472.53
2022-09-16T01:00:00+01:00,1472.58,1483.09,1447.29,1473.81
2022-09-16T05:00:00+01:00,1473.93,1480.15,1467.69,1471.49
2022-09-16T09:00:00+01:00,1471.94,1481.59,1444.33,1478.27
2022-09-16T13:00:00+01:00,1478.55,1478.57,1426.26,1452.3
2022-09-16T17:00:00+01:00,1450.83,1450.83,1407.34,1427.9
2022-09-16T21:00:00+01:00,1428.91,1448.53,1424.2,1433.79
2022-09-17T01:00:00+01:00,1432.96,1458.3,1430.72,1440.33
2022-09-17T05:00:00+01:00,1440.46,1447.44,1425.22,1432.4
2022-09-17T09:00:00+01:00,1433.19,1435.47,1417.78,1419.94
2022-09-17T13:00:00+01:00,1419.9,1450.33,1410,1444.7
2022-09-17T17:00:00+01:00,1443.31,1475.88,1443.02,1464.77
2022-09-17T21:00:00+01:00,1465.15,1473.22,1446.29,1469.1
2022-09-18T01:00:00+01:00,1468.94,1469.45,1447.01,1451.5
2022-09-18T05:00:00+01:00,1451.5,1459.83,1448.68,1453.7
2022-09-18T09:00:00+01:00,1453.92,1459.55,1418.1,1434.36
2022-09-18T13:00:00+01:00,1434.87,1439.81,1409.86,1417.31
2022-09-18T17:00:00+01:00,1417.12,1423.76,1367.93,1380.78
2022-09-18T21:00:00+01:00,1381.24,1381.38,1325.28,1334.63
2022-09-19T01:00:00+01:00,1334.83,1353.17,1289.17,1294.79
2022-09-19T05:00:00+01:00,1296.36,1312.4,1281.85,1302.37
2022-09-19T09:00:00+01:00,1301.89,1318.58,1289.84,1308.05
2022-09-19T13:00:00+01:00,1307.89,1371.2,1307.08,1341.67
2022-09-19T17:00:00+01:00,1343.82,1366.71,1322.7,1362.28
2022-09-19T21:00:00+01:00,1365.52,1392.18,1356.32,1376.11
2022-09-20T01:00:00+01:00,1377.07,1383.78,1343.05,1355.45
2022-09-20T05:00:00+01:00,1353.47,1376.82,1352.31,1358.63
2022-09-20T09:00:00+01:00,1358.94,1366.64,1346.74,1356.35
2022-09-20T13:00:00+01:00,1355.65,1379.47,1329.87,1377.4
2022-09-20T17:00:00+01:00,1377.09,1383.31,1333.32,1351.73
2022-09-20T21:00:00+01:00,1353.13,1356.22,1314.41,1323.18
2022-09-21T01:00:00+01:00,1322.97,1346.44,1318.16,1337.71
2022-09-21T05:00:00+01:00,1337.36,1345.11,1317.5,1332.04
